row ID,row m/z,row retention time,6p.mzML Peak area,7p.mzML Peak area,1p.mzML Peak area,4p.mzML Peak area,5p.mzML Peak area,3p.mzML Peak area,2p.mzML Peak area,9p.mzML Peak area,11p.mzML Peak area,8p.mzML Peak area,12p.mzML Peak area,15p.mzML Peak area,10p.mzML Peak area,14p.mzML Peak area,13p.mzML Peak area,18p.mzML Peak area,16p.mzML Peak area,20p.mzML Peak area,17p.mzML Peak area,19p.mzML Peak area
,,,DSM43815,DSM43815,DSM43168,DSM43168,DSM43168,DSM43168,DSM43168,DSM43815,2M254,DSM43815,2M254,2M254,DSM43815,2M254,2M254,CT,CT,CT,CT,CT
4337,496.3409308,19.180351,0,15995.015,229398.81,52676.23,33167.29,182221.27,48881.355,35764.777,0,0,0,11222.594,0,38863.21,0,0,0,0,0,0
4338,501.2736793,19.193981,0,0,14204.445,18831.674,39782.71,45480.152,21649.469,0,0,0,4984.1626,48403.152,0,33822,0,0,0,0,0,0
4339,307.2640175,19.162083,0,0,24016.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4340,210.1857626,18.96444,0,0,11269.97,7771.2803,0,5433.617,0,4292.465,0,0,5941.745,0,0,0,4512.2437,0,8242.002,0,6541.7036,8981.909
4341,224.2014295,18.972876,0,0,8701.866,8564.878,3220.2375,5527.2354,0,6399.2925,8915.269,0,8644.627,0,0,0,6834.3145,4448.3213,9637.227,0,7080.586,10354.08
4342,501.273724,19.197628,0,0,20517.27,22014.867,47418.156,38941.016,31627.277,0,0,0,4984.1626,18614.846,0,56075.15,0,0,0,0,0,0
4343,479.2916391,19.18509,0,0,149109.67,113101.16,281376,295698.38,417836.66,0,42771.93,0,128143.555,347625.72,0,463111.22,93925.2,0,0,0,0,0
4344,268.2638556,19.115322,123019.336,42495.492,73161,116823.01,14733.529,85336.44,23177.098,29569.943,159317.48,29241.541,13613.467,29051.809,52069.355,60791.24,32458.24,17184.027,74244.98,24695.143,60966.426,28008.51
4345,257.2645927,19.340904,712631.75,0,653772.6,764437.94,260555.12,346022.22,296242.44,409573.97,342711.88,374551.8,926784,281569.12,803693.75,800861.25,427618.56,1009944.6,288178.78,446537.38,1050433.9,1084994.8
4346,479.2914818,19.19987,0,0,217361.22,117272.67,400880.47,155103.48,83344.01,0,41390.24,0,62601.92,169983.38,0,185754.58,25516.729,0,0,0,0,0
4347,471.308989,19.217785,3665.8289,19400.576,0,0,0,0,0,13895.309,0,13421.897,0,0,14632.725,5806.145,0,0,0,0,0,0
4348,496.3409622,19.202374,0,26336.805,385071.28,227565.25,124077.65,48462.527,173051.48,55423.98,0,90417.89,0,11222.594,0,20394.273,0,0,0,0,0,0
4349,263.2371496,19.15997,1108616.2,240956.19,713248.1,868506,400360.3,35673.473,165110.62,458985.44,604756.1,208633.5,261194.75,32142.875,801663.5,21144.188,415569.53,26028.27,385425.97,184243.06,25414.777,24404.049
4350,443.3351991,19.223095,80859.46,20289.586,0,25530.55,8022.4614,8470.619,21086.479,9642.178,15993.987,5716.8584,4481.6304,0,5066.204,3780.961,4250.3447,8351.242,9255.492,0,8393.574,5461.448
4351,471.3090035,19.221449,3665.8289,41386.117,0,0,0,0,0,13895.309,0,24534.023,0,0,53562.094,5806.145,0,0,0,0,0,0
4352,443.3352205,19.22808,14495.437,16223.029,0,0,8022.4614,8470.619,17953.602,9642.178,46295.176,5716.8584,4481.6304,0,5066.204,3780.961,4250.3447,8351.242,9255.492,0,8393.574,5461.448
4353,497.3441026,19.234587,0,0,143518.1,37196.27,10534.714,18375.62,28161.574,0,0,0,0,0,0,0,0,0,0,0,0,0
4354,268.2638341,19.150826,19260.96,20600.5,38330.496,32910.89,34058.25,71920.12,28532.203,19647.574,28385.322,23956.508,28731.568,13652.11,38204.48,14434.705,36280.74,25707.387,21865.652,44997.195,26348.266,59825.973
4355,501.273567,19.231377,0,0,16463.635,15718.358,22128.871,29226.775,41422.88,0,0,0,9532.587,34069.645,0,79646.75,0,0,0,0,0,0
4356,280.264191,19.205208,40245.836,205210.98,242275.38,4480732.5,2120918.5,200177.72,2545394,137039.39,2921004,43920.152,1461218.5,4590986,4177923.2,982643.8,2203604,1723811,126710.01,3550101.8,120068.31,2211672.8
4357,268.2638004,19.186869,12839.294,16394.354,38437.87,38972.824,18036.09,34288.203,23970.492,27917.9,17680.29,7392.6235,16919.246,15624.954,0,0,0,15712.708,0,14747.233,15360.805,12583.197
4358,258.2687425,19.442072,59244.477,30186.037,44942.25,31892.36,32021.482,54904.7,0,94811.164,40079.1,51084.67,0,78602.945,49333.16,51566.07,53292.16,64306.29,0,58436.38,66823.95,63826.38
4359,256.2642351,19.331568,4280514,2201976.5,3382407,2318162,8254008,0,1.16E+07,6622211,8404401,5277878,6254740,5416053.5,7494454.5,3631252.2,3769772,6685220,4068498.2,3955067.5,4908408.5,6351143
4360,257.2647377,19.289248,1655389.5,1050709,2030592,1566995.6,409758.44,1410147,2045115.9,1165329.2,1458186,653009,1083492.5,946025.3,830939.25,784804.06,2056175.4,695175.94,2235513.2,1808578.8,869061.75,1104030.8
4361,417.2979934,19.299807,0,24475.615,0,0,0,0,0,39950.293,0,39763.246,0,0,19648.48,0,0,0,0,0,0,0
4362,501.273538,19.286772,0,0,19534.877,13826.495,30657.57,26058.04,42029.617,0,0,0,8279.254,29962.365,0,79646.75,0,0,0,0,0,0
4363,395.3159353,19.299807,0,15715.639,0,0,0,0,0,12602.361,0,10700.45,0,0,13096.981,0,0,0,0,0,0,0
4364,245.2268764,19.11308,31386.598,49546.67,78948.54,26496.691,53876.695,0,37563.88,27049.867,46274.008,48417.36,22407.69,40707.15,30472.215,32767.469,51562.445,70427.484,62276.137,35773.523,95271.125,0
